200	AT        	    	DICT01                        	P05                           	沙莎
200	PO31      	W500	KOSTL                         	5000E001                      	
200	PO31      	W521	KOSTL                         	5210E001                      	
200	AT        	    	MATKL                         	1YW                           	
200	WF21      	    	MTART                         	Z008                          	
200	WF22      	    	MTART                         	Z008                          	
200	WF31      	    	MTART                         	Z008                          	
200	WA12      	    	MTART                         	Z008                          	
200	WA11      	    	MTART                         	Z004                          	
200	PO31      	    	MATKL                         	4EE                           	
200	PO02      	    	EKGRP                         	601                           	
200	PO02      	    	EKGRP                         	602                           	
200	PO02      	    	EKGRP                         	603                           	
200	PO02      	    	LGORT                         	1001                          	
200	PO02      	    	LGORT                         	1002                          	
200	PO02      	    	LGORT                         	1003                          	
200	PO02      	    	MTART                         	Z002                          	
200	PO02      	    	MTART                         	Z003                          	
200	PO03      	    	EKGRP                         	601                           	
200	PO03      	    	EKGRP                         	602                           	
200	PO03      	    	EKGRP                         	603                           	
200	PO11      	    	MTART                         	Z005                          	
200	PO12      	    	MTART                         	Z005                          	
200	PO31      	    	EKGRP                         	601                           	
200	PO31      	    	EKGRP                         	602                           	
200	PR        	    	DICT01                        	A01                           	测试1
200	PR        	    	DICT01                        	A02                           	测试2
200	PR        	    	DICT02                        	B01                           	测试3
200	PR        	    	DICT02                        	B02                           	测试4
200	PO31      	    	EKGRP                         	603                           	
200	PO31      	    	EKGRP                         	604                           	
200	PO31      	    	EKGRP                         	605                           	
200	PO31      	    	EKGRP                         	606                           	
200	PO31      	    	EKGRP                         	607                           	
200	WE03      	    	LGORT                         	1001                          	
200	WE03      	    	LGORT                         	1002                          	
200	WE03      	    	LGORT                         	1003                          	
200	WE02      	    	LGORT                         	1001                          	
200	WE02      	    	LGORT                         	1002                          	
200	WE02      	    	LGORT                         	1003                          	
200	WE11      	    	LGORT                         	1004                          	
200	WE12      	    	LGORT                         	1004                          	
200	WA13      	    	KTOKK                         	Z008                          	
200	WA01      	    	KOSTL                         	5000E001                      	
200	WA01      	    	KOSTL                         	5210E001                      	
