200	PO01      	002	&SAVE               	CREATE    	PO_CREATE
200	PO01      	003	&SAVE               	CHANGE    	PO_CHANGE
200	PO01      	006	&DELETE             	          	PO_DELETE
200	PO02      	001	&EDIT               	          	
200	PO02      	002	&SAVE               	CREATE    	PO_CREATE
200	PO02      	003	&SAVE               	CHANGE    	PO_CHANGE
200	PO02      	004	&COMMIT             	          	PO_RELEASE
200	PO02      	005	&UNCOMMIT           	          	PO_RESET_RELEASE
200	PO02      	006	&DELETE             	          	PO_DELETE
200	PO02      	007	&PRINT              	          	
200	PO03      	001	&EDIT               	          	
200	WA01      	007	&POST               	          	MB_USE
200	WA02      	007	&POST               	          	MB_USE
200	WA03      	007	&POST               	          	MB_USE
200	WA04      	007	&POST               	          	MB_USE
200	WA11      	007	&POST               	          	MB_USE
200	AT        	001	&EDIT               	          	
200	AT        	002	&SAVE               	CREATE    	
200	AT        	003	&SAVE               	CHANGE    	
200	AT        	006	&DELETE             	DELETE    	
200	AT        	011	&POST               	          	AT_CREATE
200	WA12      	007	&POST               	          	MB_USE
200	WA32      	004	&POST               	          	MB_MOVE_E
200	WA33      	004	&POST               	          	MB_MOVE_E
200	WA13      	007	&POST               	          	MB_MOVE_O
200	WA14      	007	&POST               	          	MB_MOVE_O
200	WA31      	001	&EDIT               	          	
200	WA31      	002	&SAVE               	CREATE    	
200	WA31      	003	&SAVE               	CHANGE    	
200	WA31      	004	&POST               	          	MB_MOVE_E
200	WA31      	005	&CANCEL             	          	MB_CANCEL
200	WA32      	006	&DELETE             	          	
200	WA31      	006	&DELETE             	          	
200	WA33      	006	&DELETE             	          	
200	WF02      	007	&POST               	          	MB_MO_GI
200	WF21      	007	&POST               	          	MB_USE
200	CONF      	001	&EDIT               	          	
200	CONF      	002	&SAVE               	CREATE    	
200	CONF      	003	&SAVE               	CHANGE    	
200	CONF      	006	&DELETE             	DELETE    	MO_CONF
200	CONF      	010	&POST               	          	MO_CONF
200	WF22      	007	&POST               	          	MB_USE
200	WF24      	007	&POST               	          	MB_MO_GI
200	WF32      	007	&POST               	          	MB_USE
200	AT        	012	&CANCEL             	          	AT_CANCEL
200	MB_MOVE   	001	&EDIT               	          	
200	MB_MOVE   	002	&SAVE               	CREATE    	
200	MB_MOVE   	003	&SAVE               	CHANGE    	
200	MB_MOVE   	004	&POST               	          	MB_MOVE
200	MB_MOVE   	005	&CANCEL             	          	MB_CANCEL
200	WF03      	001	&EDIT               	          	
200	WF03      	002	&SAVE               	CREATE    	
200	WF03      	003	&SAVE               	CHANGE    	
200	WF03      	006	&DELETE             	          	
200	WF03      	007	&POST               	          	MB_MO_GI
