200	PO_RELEASE          	001	G	PO_REL_CODE                   	                              	          	                              	P0
200	PO_RELEASE          	002	G	PURCHASEORDER                 	                              	HEAD      	EBELN                         	
200	PO_RELEASE          	003	R	RETURN                        	                              	RET       	                              	
200	PO_RESET_RELEASE    	001	G	PO_REL_CODE                   	                              	          	                              	P0
200	PO_RESET_RELEASE    	003	R	RETURN                        	                              	RET       	                              	
200	PO_RESET_RELEASE    	002	G	PURCHASEORDER                 	                              	HEAD      	EBELN                         	
200	MB_MO_GI            	008	I	GOODSMVT_ITEM                 	MOVE_TYPE                     	ITEM      	BWART                         	
200	AT_CREATE           	001	H	IS_HEAD                       	EXORD                         	HEAD      	AFONO                         	
200	AT_CREATE           	002	H	IS_HEAD                       	TYPE                          	          	                              	AT100
200	AT_CREATE           	003	H	IS_HEAD                       	BUDAT                         	HEAD      	BUDAT                         	
200	AT_CREATE           	004	H	IS_HEAD                       	KUNNR                         	HEAD      	KUNNR                         	
200	AT_CREATE           	005	H	IS_HEAD                       	LIFNR                         	HEAD      	LIFNR                         	
200	AT_CREATE           	006	H	IS_HEAD                       	EKORG                         	HEAD      	EKORG                         	
200	AT_CREATE           	007	H	IS_HEAD                       	EKGRP                         	          	                              	501
200	AT_CREATE           	008	H	IS_HEAD                       	BUKRS                         	HEAD      	BUKRS                         	
200	AT_CREATE           	009	H	IS_HEAD                       	VKORG                         	HEAD      	VKORG                         	
200	AT_CREATE           	010	H	IS_HEAD                       	VTWEG                         	HEAD      	VTWEG                         	
200	AT_CREATE           	011	H	IS_HEAD                       	SPART                         	HEAD      	SPART                         	
200	AT_CREATE           	012	H	IS_HEAD                       	WERKS                         	HEAD      	WERKS                         	
200	AT_CREATE           	013	H	IS_HEAD                       	LGORT                         	HEAD      	LGORT                         	
200	AT_CREATE           	014	I	IT_ITEM                       	EXNR                          	ITEM      	AFONR                         	
200	AT_CREATE           	015	I	IT_ITEM                       	MATNR                         	ITEM      	MATNR                         	
200	AT_CREATE           	016	I	IT_ITEM                       	MENGE                         	ITEM      	MENGE                         	
200	AT_CREATE           	017	I	IT_ITEM                       	MEINS                         	ITEM      	MEINS                         	
200	AT_CREATE           	018	I	IT_ITEM                       	PRICE                         	ITEM      	PRICE                         	
200	AT_CREATE           	019	I	IT_ITEM                       	AMOUNT                        	ITEM      	AMOUNT                        	
200	AT_CREATE           	020	I	IT_ITEM                       	WAERS                         	ITEM      	WAERS                         	
200	AT_CREATE           	021	I	IT_ITEM                       	SGTXT                         	ITEM      	NETPR                         	
200	AT_CREATE           	022	R	ET_RETURN                     	                              	RET       	                              	
200	AT_CREATE           	023	R	E_ATNO                        	                              	HEAD      	DOCNR                         	
200	MB_CANCEL           	001	G	GOODSMVT_PSTNG_DATE           	                              	HEAD      	BUDAT                         	
200	MB_CANCEL           	002	G	MATDOCUMENTYEAR               	                              	HEAD      	MJAHR                         	
200	MB_CANCEL           	003	G	MATERIALDOCUMENT              	                              	HEAD      	MBLNR                         	
200	MB_CANCEL           	004	R	GOODSMVT_HEADRET              	MAT_DOC                       	HEAD      	MBLNR_RE                      	
200	MB_CANCEL           	005	R	GOODSMVT_HEADRET              	DOC_YEAR                      	HEAD      	MJAHR_RE                      	
200	MB_CANCEL           	006	R	RETURN                        	                              	RET       	                              	
200	MB_MOVE_GI          	001	H	GOODSMVT_CODE                 	GM_CODE                       	          	                              	06
200	MB_MOVE_GI          	002	H	GOODSMVT_HEADER               	PSTNG_DATE                    	HEAD      	BUDAT                         	
200	MB_MOVE_GI          	003	H	GOODSMVT_HEADER               	REF_DOC_NO                    	HEAD      	AFONO                         	
200	MB_MOVE_GI          	004	H	GOODSMVT_HEADER               	HEADER_TXT                    	HEAD      	REMARK1                       	
200	MB_MOVE_GI          	005	I	GOODSMVT_ITEM                 	MATERIAL                      	ITEM      	MATNR                         	
200	MB_MOVE_GI          	006	I	GOODSMVT_ITEM                 	PLANT                         	ITEM      	WERKS                         	
