200	PO01      	000020	DIS       	MAT                           	                              	 	
200	WA14      	000003	REF       	                              	S_LGORT                       	 	X
200	WA21      	000001	REF       	MB                            	                              	 	
200	PO03      	000070	REF       	                              	S_LGORT                       	 	X
200	AT        	000001	DIS       	                              	S_KUNNR                       	 	
200	WA21      	000002	REF       	MAT                           	                              	 	
200	WA22      	000001	REF       	MB                            	                              	 	
200	WA22      	000002	REF       	MAT                           	                              	 	
200	WA32      	000001	REF       	MB                            	                              	 	
200	WA32      	000002	REF       	MAT                           	                              	 	
200	WA33      	000001	REF       	MB                            	                              	 	
200	CONF      	000001	REF       	AUF                           	                              	 	
200	CONF      	000002	REF       	MAT                           	                              	 	
200	WA33      	000002	REF       	MAT                           	                              	 	
200	WA31      	000001	REF       	MB                            	                              	 	
200	MB_MOVE   	000001	REF       	MB                            	                              	 	
200	MB_MOVE   	000002	REF       	MAT                           	                              	 	
200	WA31      	000002	REF       	MAT                           	                              	 	
200	PO02      	000010	DIS       	PO                            	                              	 	
200	PO02      	000020	DIS       	MAT                           	                              	 	
200	PO02      	000030	REF       	                              	S_SATNR                       	 	
200	AT        	000003	DIS       	                              	S_LIFNR                       	 	
200	PO02      	000050	REF       	                              	S_VBELN                       	 	
200	PO02      	000060	REF       	MAT                           	                              	 	
200	PO03      	000010	DIS       	PO                            	                              	 	
200	PR        	000001	DIS       	ME                            	                              	 	
200	PO03      	000020	DIS       	MAT                           	                              	 	
200	PO01      	000010	DIS       	PO                            	                              	 	
200	PO03      	000030	REF       	                              	S_SATNR                       	 	
200	WA13      	000003	REF       	                              	S_LGORT                       	 	X
200	PO03      	000050	REF       	                              	S_VBELN                       	 	
200	PO03      	000060	REF       	MAT                           	                              	 	
200	WA13      	000006	DIS       	                              	S_LGORT                       	 	X
200	PO11      	000010	DIS       	PO                            	                              	 	
200	PO11      	000020	DIS       	MAT                           	                              	 	
200	PO12      	000010	DIS       	PO                            	                              	 	
200	PO12      	000020	DIS       	MAT                           	                              	 	
200	PO12      	000030	REF       	MAT                           	                              	 	
200	PO12      	000040	REF       	                              	S_LGORT                       	 	X
200	PO21      	000010	DIS       	PO                            	                              	 	
200	PO21      	000030	DIS       	                              	S_AUFNR                       	 	
200	PO21      	000020	DIS       	                              	S_SATNR                       	 	
200	PO21      	000040	REF       	                              	S_SATNR                       	 	
200	PO21      	000050	REF       	                              	S_AUFNR                       	 	
200	PO31      	000010	DIS       	PO                            	                              	 	
200	WE01      	000001	REF       	PO                            	                              	 	
200	WE01      	000002	REF       	MAT                           	                              	 	
200	WA12      	000004	REF       	                              	S_LGORT                       	 	X
200	WE01      	000004	REF       	                              	S_BSART                       	 	X
200	WE01      	000005	REF       	                              	S_EKGRP                       	 	X
200	WE01      	000006	DIS       	PO                            	                              	 	
200	WE01      	000007	DIS       	MAT                           	                              	 	
200	WE03      	000001	REF       	PO                            	                              	 	
200	WE03      	000002	REF       	MAT                           	                              	 	
200	WA12      	000005	DIS       	                              	S_LGORT                       	 	X
200	WE03      	000004	REF       	                              	S_BSART                       	 	X
200	WE03      	000005	REF       	                              	S_EKGRP                       	 	X
200	WE03      	000006	DIS       	PO                            	                              	 	
200	WE03      	000007	DIS       	MAT                           	                              	 	
200	WE02      	000001	REF       	PO                            	                              	 	
200	WE02      	000002	REF       	MAT                           	                              	 	
200	WA31      	000003	REF       	                              	S_LGORT                       	 	X
200	WE02      	000004	REF       	                              	S_BSART                       	 	X
200	WE02      	000005	REF       	                              	S_EKGRP                       	 	X
200	WE02      	000006	DIS       	PO                            	                              	 	
200	WE02      	000007	DIS       	MAT                           	                              	 	
200	WE11      	000001	REF       	PO                            	                              	 	
200	WE11      	000002	REF       	MAT                           	                              	 	
200	WA32      	000003	REF       	                              	S_LGORT                       	 	X
200	WE11      	000004	REF       	                              	S_BSART                       	 	X
200	WE11      	000005	REF       	                              	S_EKGRP                       	 	X
200	WE11      	000006	DIS       	PO                            	                              	 	
200	WE11      	000007	DIS       	MAT                           	                              	 	
200	WE12      	000001	REF       	PO                            	                              	 	
200	WE12      	000002	REF       	MAT                           	                              	 	
200	WA33      	000003	REF       	                              	S_LGORT                       	 	X
